"filename", "language", "XML", "C#", "Docker", "JSON", "Markdown", "PowerShell", "Razor", "CSS", "SCSS", "JavaScript", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\bootstrap\bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\flaticon\font\Flaticon.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 58
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\flaticon\font\Flaticon.svg", "XML", 439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 444
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\flaticon\font\flaticon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\font-awesome\css\fontawesome-all.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\hs-megamenu\src\hs.megamenu.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\hs-megamenu\src\hs.megamenu.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 43
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\jquery-migrate\dist\jquery-migrate.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 1, 1, 215
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\jquery\dist\jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\malihu-custom-scrollbar-plugin\jquery.mCustomScrollbar.concat.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\malihu-custom-scrollbar-plugin\jquery.mCustomScrollbar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\multilevel-sliding-mobile-menu\dist\jquery.zeynep.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 5, 0, 9
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\popper.js\dist\umd\popper.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 6
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\slick-carousel\slick\slick.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\slick-carousel\slick\slick.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 156
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\slick-carousel\slick\slick.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\DelegateHandlers\TokenExchangeDelegateHandler.cs", "C#", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\Dockerfile", "Docker", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\FreeCourse.Gateway.csproj", "XML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\Program.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26
